nomeLocalidade;SIGLA_UF;Exportação_2020_Valor US$ FOB;Exportação_2020_Quilograma Líquido;Importação_2020_Valor US$ FOB;Importação_2020_Quilograma Líquido;Exportação_2019_Valor US$ FOB;Exportação_2019_Quilograma Líquido;Importação_2019_Valor US$ FOB;Importação_2019_Quilograma Líquido;Exportação_2018_Valor US$ FOB;Exportação_2018_Quilograma Líquido;Importação_2018_Valor US$ FOB;Importação_2018_Quilograma Líquido;Exportação_2017_Valor US$ FOB;Exportação_2017_Quilograma Líquido;Importação_2017_Valor US$ FOB;Importação_2017_Quilograma Líquido;Exportação_2016_Valor US$ FOB;Exportação_2016_Quilograma Líquido;Importação_2016_Valor US$ FOB;Importação_2016_Quilograma Líquido;Exportação_2015_Valor US$ FOB;Exportação_2015_Quilograma Líquido;Importação_2015_Valor US$ FOB;Importação_2015_Quilograma Líquido
Lucas do Rio Verde;MT;467784616;1544255906;16540992;14574321;452021535;1607903704;19046189;24656918;367291645;1113819169;26627007;20627624;428751243;1422586202;11545137;13989877;372282388;1412640141;17743346;31882498;395038882;1379966735;44328389;91760204
Artur Nogueira;SP;16771476;9332869;41930333;14701056;14340701;6378653;41121511;15351159;24894882;10251053;24809070;12839571;21477232;8331955;20206086;10891839;16659169;6889973;14151575;5639960;19087053;8231816;15662478;2569096
Esteio;RS;53279236;18924816;42162084;14880837;59206631;21302515;38099591;12868074;50919108;17445663;42712346;14218884;54927121;21764178;39348835;13284727;58052190;23934936;44775663;18889046;66019918;25467577;52979064;17144995
Tubarão;SC;15219894;27712820;16680753;15104363;18916144;35686121;22055654;21288548;22174049;46771000;19354798;22838478;13721755;24602577;24529656;18050231;9739786;13972635;43538420;30899723;13376704;12346482;62617857;30390833
Vargem Grande Paulista;SP;26570884;5003595;69001136;15184416;28928442;10253051;49715629;15558491;31728446;9065170;54547005;15148394;30706258;5612236;29930290;13965590;28182218;11141300;30045104;14918560;26375822;4402289;38016698;18240610
Flores da Cunha;RS;32167929;11800556;27959243;15188795;37240145;11260734;30920761;18047274;44257976;12388021;25714155;12453367;40861874;11454184;21321914;10386414;43854769;12643466;15059704;7383881;35735326;10943314;21714979;9149996
Pimenta Bueno;RO;50543049;13233002;53691506;15228212;57292830;17039661;53659362;18031273;58374041;17049138;41437527;13420090;54542522;14727319;39036482;14647299;48438737;13475705;25343678;10609890;47011820;11106131;21747022;6930974
Jarinu;SP;15540990;8772433;38797520;15536108;17676175;6469835;47860886;16218815;16216842;5631039;44158866;13651132;13712875;4418539;46971946;13137490;12558342;3409219;38504585;7835279;24854200;3832563;41570420;8245995
Matozinhos;MG;54094256;164410220;12005104;15577713;33411625;90517869;14721623;28381310;25465139;60896997;13715642;12424154;42727585;122216390;12882999;46936172;13371726;46816604;5315745;40933504;9857385;25898528;6549669;32615312
Telêmaco Borba;PR;404257762;523289394;23849982;15586259;399697256;512926410;27021388;16174909;261908210;328706072;23964542;13829695;215072279;250159284;27388755;24970326;216318705;244212409;32081429;22916055;319434933;351721011;45110480;30336369
Parauapebas;PA;7819802074;102175380904;209983711;15662740;7022849070;107175898269;137009653;12796351;6247629507;127968931825;102309017;9971719;6851170829;142345161800;65921493;6425919;4764915523;142405047736;73878431;8657618;4004559428;123083201126;154838891;10977052
Dourado;SP;9772;1786;16132530;15780395;0;0;11574510;11089754;993;58;9079633;6770967;2900;13;7200494;1247201;1800;13;5855823;675134;212;1;3099763;211016
Lorena;SP;51532834;16764955;29281108;15784701;66920339;19845704;35997104;14230891;59562165;17309569;39659921;18999733;51551651;20624733;27201414;12957159;29828094;10552913;38215729;34431632;32748725;9984582;34016456;25794361
Aparecida de Goiânia;GO;36683752;1213299;440790698;15887679;33427511;961839;481769661;12376095;31308720;866595;443658621;59616894;38675366;28167726;325833358;12227888;48523568;47540498;314861045;13626343;29919739;10587235;295622492;30527351
Bodoquena;MS;2183540;32722256;841970;16023971;513412;6938000;360401;3007820;1224000;17000000;2781122;28000992;1385553;20496000;1617267;19000350;1387200;18100000;677581;15000003;0;0;1428218;13510205
