nomeLocalidade,estado,População residente,Densidade demográfica,Porcentagem de Jovens,Porcentagem de Ativos,Porcentagem de Idosos,Taxa de Urbanização,Taxa de Saneamento Básico,Ativos com Baixo Nível Educacional,Ativos com Médio Nível Educacional,Ativos com Alto Nível Educacional,Percentual de estrangeiros ao total de Trabalhadores,PIB Municipal,Estudantes Ensino primário,Estudantes Ensino secundário,Estudantes Ensino superior,Óbitos até 1 ano de idade por milhares de habitantes,Óbitos por milhares de habitantes,Nascidos por milhares de habitantes,Hospitais por milhares de habitantes,Médicos por milhares de habitantes,% de pobres,IDH,Percentual de trabalhadores especializados,"Valores de Importação por 10,000 habitantes","Valores de Exportação por 10,000 habitantes","Número de hotéis por 10,000 habitantes",Percentual de empresas do setor primário em relação ao total,Percentual de empresas do setor secundário em relação ao total,Percentual de empresas do setor terciário em relação ao total,Percentual de trabalhadores do setor primário em relação ao total,Percentual de trabalhadores do setor secundário em relação ao total,Percentual de trabalhadores do setor terciário em relação ao total,Média Salarial,Produtividade,Taxa de desemprego dos jovens,Taxa de desemprego,"Número de trabalhadores(Comerciais, hotéis e restaurantes) por 1,000 habitantes","Número de ativos culturais e de lazer por 10,000 habitantes",cat_export,cat_import
Jaguari,Rio Grande do Sul,11473,17.04,31.38,53.65,14.97,59.55,12.64,70.98,19.21,9.81,0.0,136795676.7,983,535,0,0.1,8.9,10.5,0.09,0.45,8.86,0.87,17.7,0.0,638742.26,0.87,1.11,16.67,82.22,3.89,13.17,53.57,1031.84,2056423.74,6.99,2.82,34.69,0.0,media,zero
Arari,Maranhão,28488,25.89,50.73,42.83,6.44,62.46,3.38,72.54,24.3,3.16,0.0,112066949.0,4385,1493,124,0.1,2.5,17.6,0.0,0.0,38.56,0.76,6.3,0.0,0.0,0.0,0.0,9.76,90.24,0.72,2.89,17.77,910.99,1144035.95,10.38,6.75,3.16,0.0,zero,zero
Cachoeira dos Índios,Paraíba,9546,49.44,44.97,45.58,9.45,37.83,12.32,76.92,18.34,4.74,0.0,59485135.32,1862,406,0,0.2,3.2,13.8,0.0,0.2,35.41,0.77,16.3,0.0,0.0,0.0,0.0,12.5,87.5,0.4,10.06,16.9,691.12,1716738.82,11.76,8.5,8.07,0.0,zero,zero
Rosário Oeste,Mato Grosso,17679,2.36,42.51,48.58,8.91,57.55,5.59,67.8,22.88,9.32,0.36,140699205.5,2765,963,0,0.2,5.1,11.6,0.06,0.28,19.26,0.81,14.1,0.0,2971110.92,1.13,18.27,13.46,68.27,26.87,8.24,34.3,1010.86,1760578.01,17.63,7.5,11.6,0.57,media,zero
Jaraguari,Mato Grosso do Sul,6341,2.18,37.68,52.86,9.46,27.61,0.81,76.05,16.7,7.26,0.51,96064818.39,981,208,0,0.0,1.3,6.0,0.0,0.0,13.49,0.83,5.9,0.0,0.0,0.0,55.22,7.46,37.31,36.86,2.21,32.51,859.49,2741581.05,11.67,3.87,8.52,1.58,zero,zero
Rondon,Paraná,8996,16.21,39.84,51.55,8.62,79.92,47.79,65.07,22.54,12.39,0.95,166877329.3,870,395,0,0.3,4.1,13.8,0.11,0.78,1.32,0.82,5.94,0.0,11130424.63,1.11,2.29,16.57,81.14,4.8,72.89,13.04,962.41,3315680.83,5.68,2.1,23.79,2.22,media,zero
Carbonita,Minas Gerais,9148,6.28,44.68,46.61,8.71,73.12,64.27,77.61,17.59,4.8,0.0,52559193.64,2010,610,0,0.1,6.2,11.1,0.11,0.0,21.33,0.8,19.79,0.0,0.0,3.28,9.57,10.43,80.0,35.9,4.88,29.56,690.08,1253382.56,10.9,5.75,14.76,1.09,zero,zero
Guaraciaba do Norte,Ceará,37775,61.78,49.6,41.81,8.59,48.14,5.05,80.29,15.64,4.07,0.57,209265189.5,9254,2432,0,0.1,4.2,17.4,0.0,0.0,43.42,0.78,80.2,0.0,0.0,0.53,0.0,5.59,94.41,1.12,3.12,17.17,684.4,1310924.58,7.54,4.82,7.57,0.0,zero,zero
Santa Vitória,Minas Gerais,18138,6.04,36.79,53.79,9.43,81.89,78.27,68.17,20.38,11.45,0.0,311954011.0,2638,904,26,0.2,5.1,13.2,0.06,1.17,4.94,0.87,10.41,0.0,25570571.18,5.51,6.06,17.17,76.77,12.61,41.75,21.25,1275.61,3348139.81,11.78,5.03,31.43,1.1,media,zero
Água Azul do Norte,Pará,25057,3.52,48.37,48.85,2.78,19.69,9.66,90.52,8.57,0.92,0.0,179853633.5,1866,502,0,0.0,0.9,5.8,0.0,0.0,33.99,0.8,7.06,0.0,2216399.41,0.0,38.64,11.36,50.0,40.72,26.69,3.53,878.16,2177484.57,18.06,13.59,0.64,0.0,media,zero
Mirassol,São Paulo,53792,221.16,35.04,55.5,9.46,97.36,96.21,53.52,32.07,14.41,1.04,1006643585.0,4841,2728,799,0.1,3.4,10.5,0.04,1.02,2.4,0.85,11.71,0.0,0.0,2.04,0.69,26.21,73.1,1.81,45.18,42.97,1271.55,3784148.82,14.03,7.58,44.34,2.6,zero,zero
Lagoa Santa,Goiás,1254,2.73,39.31,53.19,7.5,63.18,24.66,61.68,22.3,16.03,0.44,19554073.44,293,85,0,0.0,0.0,0.0,0.0,0.0,3.81,0.87,17.28,0.0,0.0,39.87,0.0,11.11,88.89,13.17,2.88,23.46,893.16,3096529.97,6.85,2.46,38.28,7.97,zero,zero
Candeias,Minas Gerais,14595,20.26,33.98,54.85,11.18,71.2,68.47,74.39,17.39,8.22,0.0,128182776.8,1906,498,0,0.1,4.1,7.3,0.0,0.53,7.86,0.83,10.53,0.0,198080.85,1.37,26.8,14.4,58.8,15.69,26.17,30.56,733.16,1692498.68,8.23,3.83,24.05,0.69,media,zero
Pontal do Araguaia,Mato Grosso,5395,1.97,41.63,52.42,5.95,80.66,0.31,57.96,28.65,13.4,0.16,40153528.35,783,233,1014,0.2,0.0,0.0,0.0,0.4,7.36,0.82,9.63,0.0,0.0,0.0,35.14,18.92,45.95,48.52,10.0,8.89,849.07,1535233.75,9.09,5.09,3.34,0.0,zero,zero
Machadinho D'Oeste,Rondônia,31135,3.66,48.99,46.84,4.18,53.82,0.0,81.13,13.33,5.54,0.0,271927797.1,7172,1623,0,0.2,3.0,18.9,0.0,0.42,28.55,0.76,15.8,0.0,537345.11,2.25,5.81,15.5,78.68,4.31,20.94,29.29,822.15,1889442.94,9.65,3.54,15.67,0.0,media,zero
Ipecaetá,Bahia,15331,41.45,46.48,43.92,9.6,19.76,0.6,81.2,18.32,0.48,0.0,52064842.55,2002,609,0,0.1,3.9,14.1,0.0,1.07,52.76,0.78,13.1,0.0,0.0,0.0,7.69,0.0,92.31,1.9,0.0,2.46,912.37,865320.7,13.01,10.56,0.72,0.0,zero,zero
Pinhal Grande,Rio Grande do Sul,4471,9.37,37.98,51.38,10.65,45.63,38.99,77.78,14.2,8.01,8.95,311038036.2,512,249,0,0.3,4.5,12.3,0.25,0.75,20.56,0.8,7.1,0.0,0.0,0.0,2.27,20.45,77.27,7.3,17.36,22.68,1874.55,12685073.41,3.54,1.21,10.29,0.0,zero,zero
Marcelândia,Mato Grosso,12006,0.98,47.06,48.79,4.15,62.19,0.72,73.81,18.42,7.77,0.16,136099775.9,2715,907,0,0.3,3.7,16.1,0.0,0.17,12.32,0.81,8.25,0.0,0.0,2.5,11.32,31.6,57.08,15.61,32.37,27.45,935.45,2330545.08,7.74,3.97,22.24,0.0,zero,zero
Boa Vista da Aparecida,Paraná,7911,30.87,40.88,48.93,10.2,62.54,1.99,70.73,22.24,7.03,0.15,60296138.91,916,391,0,0.0,4.3,12.4,0.0,0.0,16.41,0.8,15.55,0.0,0.0,0.0,4.46,26.79,68.75,3.98,23.39,32.01,801.7,1574719.25,9.25,4.82,18.83,1.26,zero,zero
Jurema,Pernambuco,14541,98.08,48.84,40.75,10.41,64.39,67.31,87.43,10.8,1.78,0.0,63321692.7,1705,468,0,0.1,4.9,16.3,0.0,1.13,48.57,0.68,44.67,0.0,0.0,0.0,0.0,10.34,89.66,0.0,1.72,8.31,802.96,1106345.31,7.65,4.23,2.82,0.0,zero,zero
Capitão Gervásio Oliveira,Piauí,3878,3.42,46.16,45.77,8.07,31.21,1.01,85.29,12.39,2.33,0.0,15113845.74,639,264,0,0.0,0.0,0.0,0.0,0.0,54.85,0.73,21.17,0.0,59551.32,0.0,0.0,0.0,100.0,0.0,1.46,3.65,2059.82,1300000.0,10.36,4.36,1.03,0.0,media,zero
Batalha,Alagoas,17076,53.45,50.55,42.96,6.49,72.07,18.35,74.84,21.37,3.8,0.0,68447609.16,4401,966,0,0.2,5.1,20.5,0.06,0.0,39.85,0.75,7.39,0.0,0.0,0.59,8.33,8.33,83.33,1.7,4.5,25.77,925.07,1116606.85,15.96,9.69,10.66,0.0,zero,zero
São João do Jaguaribe,Ceará,7900,28.17,35.2,52.72,12.08,41.57,25.89,72.17,23.0,4.83,0.0,52891369.0,1199,320,0,0.0,4.8,9.5,0.0,0.0,27.57,0.78,23.46,0.0,0.0,0.0,3.23,22.58,74.19,2.05,5.87,12.9,832.89,1773550.12,8.95,3.74,4.05,0.0,zero,zero
Figueirão,Mato Grosso do Sul,2928,0.6,39.64,53.43,6.93,53.46,1.71,76.55,16.75,6.71,0.0,52968779.04,535,137,0,0.0,4.0,8.7,0.0,0.33,7.59,0.83,15.92,0.0,0.0,0.0,33.33,0.0,66.67,32.24,0.0,13.06,997.57,3731571.53,7.66,2.27,9.22,0.0,zero,zero
Salto Grande,São Paulo,8787,46.65,38.27,51.47,10.25,90.91,30.18,61.62,28.73,9.66,0.98,95349055.05,778,309,0,0.4,9.3,13.1,0.11,0.89,11.69,0.83,14.32,0.0,0.0,0.0,3.57,22.62,73.81,11.47,28.89,34.17,1196.56,2655221.39,23.85,10.25,9.1,1.14,zero,zero
Pouso Alto,Minas Gerais,6213,23.62,34.52,54.02,11.46,60.3,48.22,77.28,17.28,5.44,0.0,70350544.56,842,329,0,0.0,6.5,13.3,0.17,1.0,10.41,0.85,6.28,0.0,0.0,8.05,2.47,22.22,75.31,30.72,30.64,21.6,818.68,2422555.1,9.31,3.62,28.49,1.61,zero,zero
São Jorge do Patrocínio,Paraná,6041,14.93,35.79,52.69,11.52,59.85,0.62,84.73,8.69,6.58,0.24,51361971.43,593,307,0,0.2,6.0,12.0,0.0,0.0,2.17,0.81,12.98,0.0,1294.49,0.0,3.6,32.43,63.96,3.13,51.92,20.68,748.05,1410894.62,4.82,2.49,28.64,1.66,media,zero
Lagoa Santa,Goiás,1254,2.73,39.31,53.19,7.5,63.18,24.66,61.68,22.3,16.03,0.44,19554073.44,293,85,0,0.0,0.0,0.0,0.0,0.0,3.81,0.87,17.28,0.0,0.0,39.87,0.0,11.11,88.89,13.17,2.88,23.46,893.16,3096529.97,6.85,2.46,38.28,7.97,zero,zero
São Miguel do Anta,Minas Gerais,6760,44.44,38.62,50.45,10.93,56.42,48.78,76.69,16.07,7.24,1.11,41507211.2,1079,357,0,0.3,2.9,8.7,0.0,0.71,20.84,0.83,15.01,0.0,981227.81,0.0,4.26,19.15,76.6,14.78,12.93,23.56,617.86,1402571.91,7.05,2.67,9.02,0.0,media,zero
Aramina,São Paulo,5152,25.4,36.59,52.85,10.56,93.22,90.62,61.45,29.02,9.53,0.0,78505248.64,397,182,0,0.0,2.0,15.6,0.0,1.8,3.04,0.86,11.34,0.0,0.0,3.88,7.14,6.12,86.73,7.51,3.83,50.0,1075.79,3298654.9,14.09,5.33,27.17,0.0,zero,zero
Lagoão,Rio Grande do Sul,6185,15.98,41.65,49.38,8.97,28.45,8.98,85.56,11.19,3.26,0.0,53029818.9,744,245,0,0.3,3.7,11.7,0.0,0.5,16.01,0.82,9.86,0.0,0.0,0.0,0.0,14.29,85.71,0.28,3.1,18.03,953.52,1453673.25,1.93,1.03,8.25,0.0,zero,zero
Bauru,São Paulo,343937,515.12,36.44,54.37,9.19,96.4,97.48,43.58,33.25,23.17,1.4,7919256045.0,34749,20558,22230,0.1,8.7,14.1,0.06,1.95,3.71,0.85,14.56,0.0,0.0,1.6,0.5,13.03,86.43,0.9,25.1,68.94,1419.47,4561506.26,15.8,6.24,64.18,2.04,zero,zero
Buritama,São Paulo,15418,47.17,35.67,54.06,10.27,93.67,88.03,53.63,33.2,13.18,0.0,263261887.5,1813,600,0,0.3,6.5,13.0,0.13,0.73,4.57,0.84,11.96,0.0,0.0,1.95,5.38,17.56,77.06,7.8,27.98,37.78,1072.45,3505019.31,13.86,7.09,33.99,2.59,zero,zero
Utinga,Bahia,18173,28.47,51.12,42.28,6.61,71.71,0.57,73.72,20.67,5.61,0.0,74957991.37,4240,976,0,0.0,5.7,28.3,0.11,0.0,43.0,0.71,4.99,0.0,0.0,0.55,3.03,1.52,95.45,7.15,0.17,24.63,832.33,1020674.65,14.77,7.73,5.5,0.0,zero,zero
Pedra do Anta,Minas Gerais,3365,19.43,36.61,50.22,13.17,66.3,65.18,83.36,12.7,3.94,0.0,15880444.5,591,128,0,0.7,9.3,11.0,0.0,3.33,24.36,0.82,13.36,0.0,0.0,0.0,12.0,8.0,80.0,7.63,1.53,14.5,663.05,1089163.24,13.44,5.14,7.13,0.0,zero,zero
José da Penha,Rio Grande do Norte,5868,49.88,40.71,46.32,12.97,62.56,10.61,79.51,15.07,5.42,0.0,28770393.24,1141,257,0,0.2,3.7,27.3,0.0,0.17,31.13,0.79,7.14,0.0,0.0,0.0,0.0,16.67,83.33,0.0,0.65,2.92,1161.46,1397280.23,15.26,7.25,1.19,0.0,zero,zero
Gameleira de Goiás,Goiás,3275,5.53,40.06,51.97,7.97,34.12,0.24,81.32,13.0,5.68,0.0,76263385.75,631,117,0,0.0,0.0,0.0,0.0,0.0,13.54,0.83,13.07,0.0,0.0,0.0,43.33,10.0,46.67,33.66,4.25,6.21,829.91,4398096.89,4.26,3.13,5.5,0.0,zero,zero
Mazagão,Amapá,17032,1.3,62.19,33.9,3.92,49.97,4.5,61.22,33.59,5.19,0.0,150687724.6,2543,920,0,0.2,1.4,28.8,0.0,0.0,43.51,0.76,3.53,0.0,10059489.78,0.0,5.0,40.0,55.0,0.08,20.84,10.84,1162.49,2582176.52,9.01,5.64,0.65,0.0,media,zero
Alto Santo,Ceará,16359,12.22,44.41,47.07,8.52,50.77,10.9,80.17,16.7,3.13,0.0,80696165.97,2685,468,0,0.1,3.8,11.6,0.0,0.0,36.02,0.77,19.53,0.0,0.0,0.0,4.08,26.53,69.39,0.81,24.46,7.62,592.53,1277116.63,6.43,5.49,4.4,0.0,zero,zero
São José da Coroa Grande,Pernambuco,18180,262.19,50.7,43.66,5.64,75.36,0.42,65.01,27.84,7.15,0.47,93401749.8,2620,907,0,0.2,4.3,19.9,0.0,0.56,43.59,0.74,18.01,0.0,0.0,3.3,5.93,11.02,83.05,4.33,3.34,40.81,636.81,1770212.36,33.48,15.68,22.33,0.0,zero,zero
Campina das Missões,Rio Grande do Sul,6117,27.09,29.84,56.78,13.39,38.94,34.5,72.35,21.96,5.69,3.68,68259174.81,471,256,0,0.2,7.8,5.3,0.17,0.33,8.31,0.85,11.84,0.0,0.0,1.63,0.0,25.96,74.04,1.48,12.99,55.26,898.49,1715481.28,3.05,1.12,23.54,1.63,zero,zero
São Paulo do Potengi,Rio Grande do Norte,15843,65.9,45.18,45.28,9.55,74.63,57.15,68.95,24.84,6.22,0.0,114161806.3,3726,857,0,0.1,4.9,24.7,0.0,1.19,32.43,0.74,9.24,0.0,5295995.08,1.26,0.98,15.69,83.33,1.2,50.96,19.79,463.75,2040478.32,26.76,13.41,16.92,0.0,media,zero
São João do Pau d'Alho,São Paulo,2103,17.87,31.24,52.69,16.07,82.29,80.92,60.39,25.66,13.95,0.93,25568589.45,184,106,0,0.0,5.0,7.5,0.0,1.5,1.1,0.85,18.55,0.0,0.0,0.0,0.0,0.0,100.0,10.86,0.0,16.29,1309.59,2475217.81,5.1,2.08,9.03,0.0,zero,zero
Biritiba-Mirim,São Paulo,28575,90.03,42.84,49.51,7.66,85.76,60.66,61.35,31.22,7.42,6.88,322601463.0,2436,1415,0,0.2,2.3,12.7,0.03,1.1,9.77,0.8,8.57,0.0,0.0,0.35,5.03,7.04,87.94,32.67,5.92,45.22,964.51,2444706.33,15.96,7.69,23.06,0.7,zero,zero
Xavantina,Santa Catarina,4142,19.12,34.97,55.06,9.97,29.94,1.18,78.87,17.53,3.61,0.0,89164792.58,325,174,0,0.5,6.5,10.8,0.25,0.5,3.42,0.86,12.81,0.0,0.0,0.0,1.19,11.9,86.9,16.5,7.88,48.52,965.66,2919613.62,0.67,0.39,19.31,0.0,zero,zero
Fátima,Tocantins,3805,9.94,45.68,46.94,7.39,83.32,0.47,55.46,35.56,8.98,0.0,33855672.4,906,181,0,0.0,10.0,20.0,0.0,0.0,22.14,0.81,6.19,0.0,0.0,2.63,16.67,6.67,76.67,4.9,0.77,28.09,827.06,2451556.84,32.21,12.04,24.44,0.0,zero,zero
Santa Bárbara do Pará,Pará,17141,61.62,51.16,44.16,4.69,31.16,0.92,63.17,33.48,3.36,1.73,70664972.37,2236,1046,0,0.1,2.6,16.2,0.0,0.41,39.11,0.78,8.51,0.0,1477822.18,0.0,5.0,50.0,45.0,7.2,39.54,4.9,873.91,1214477.07,23.47,11.54,2.8,0.0,media,zero
Anapurus,Maranhão,13939,22.91,54.51,40.22,5.28,52.42,0.66,73.0,22.78,4.22,0.0,72991294.72,1461,985,0,0.1,3.1,25.8,0.0,0.0,54.45,0.76,20.33,0.0,8563224.05,0.0,12.5,8.33,79.17,5.35,12.25,11.3,713.77,1370689.98,9.99,7.7,0.86,0.0,media,zero
Santa Margarida do Sul,Rio Grande do Sul,2352,2.46,35.37,53.61,11.01,23.64,0.24,76.48,16.87,6.65,6.75,90607319.04,224,35,0,0.0,0.0,0.0,0.0,2.5,11.81,0.87,19.67,0.0,0.0,0.0,14.29,19.05,66.67,30.6,1.91,19.67,771.6,8918011.81,3.52,1.45,9.35,0.0,zero,zero
Acaiaca,Minas Gerais,3920,38.47,40.06,48.35,11.59,65.93,60.86,73.71,20.19,6.1,0.0,22385944.0,849,445,0,0.0,3.5,10.0,0.0,0.75,26.53,0.82,20.96,0.0,18612.24,0.0,17.65,14.71,67.65,12.37,9.97,24.4,825.39,1726425.27,41.71,21.95,11.99,0.0,media,zero
Inhapim,Minas Gerais,24294,28.31,39.27,50.16,10.58,59.52,38.79,77.12,14.81,8.08,1.35,140799035.2,3995,1133,0,0.2,3.4,10.3,0.04,0.08,22.35,0.83,11.2,0.0,0.0,1.65,4.47,7.32,88.21,5.19,3.78,38.74,772.85,1345070.29,9.29,6.18,22.15,0.41,zero,zero
Cordeiros,Bahia,8168,15.6,42.61,46.38,11.01,33.86,0.0,82.32,14.53,3.15,0.0,28833285.04,1003,398,0,0.0,5.3,11.1,0.0,0.0,33.98,0.76,5.33,0.0,0.0,0.0,0.0,13.33,86.67,2.05,0.41,8.2,991.96,984533.97,17.8,8.47,1.96,0.0,zero,zero
Morrinhos,Ceará,20700,49.81,52.15,39.7,8.15,49.27,19.26,79.16,16.98,3.86,0.0,75898620.0,3961,992,0,0.1,2.6,18.5,0.0,0.62,54.57,0.76,29.16,0.0,0.0,0.0,3.7,14.81,81.48,0.1,1.08,9.39,758.25,1099985.51,11.24,6.53,3.29,0.0,zero,zero
Pedra Bonita,Minas Gerais,6673,38.37,47.2,47.18,5.62,28.09,29.09,86.91,8.97,4.12,0.0,39143417.62,1310,314,0,0.3,1.4,14.7,0.0,0.0,40.94,0.74,28.52,0.0,0.0,0.0,11.11,22.22,66.67,1.37,1.37,2.75,786.95,1119330.86,1.4,0.74,0.15,0.0,zero,zero
Varjão,Goiás,3659,7.05,35.58,54.36,10.06,62.86,0.0,70.54,22.38,7.08,0.0,31862901.31,653,187,0,0.0,2.8,9.5,0.0,0.0,5.43,0.81,4.49,0.0,0.0,0.0,20.0,2.5,77.5,35.96,3.6,15.96,746.84,1685880.49,12.28,5.54,9.29,0.0,zero,zero
Montadas,Paraíba,4990,157.46,44.87,44.81,10.32,64.6,34.5,80.85,14.69,4.46,0.0,21296671.3,1099,231,0,0.2,3.6,11.2,0.0,0.0,39.35,0.75,8.8,0.0,0.0,0.0,9.09,9.09,81.82,41.55,0.35,5.99,627.11,872827.87,6.02,3.13,3.01,0.0,zero,zero
Rio dos Índios,Rio Grande do Sul,3616,15.37,35.56,52.24,12.2,21.49,0.0,81.06,13.02,5.92,0.0,39645462.4,348,162,0,0.0,0.0,0.0,0.0,0.0,22.68,0.8,37.02,0.0,0.0,0.0,14.29,14.29,71.43,0.85,0.85,6.38,1041.0,2177100.49,6.23,2.41,0.55,0.0,zero,zero
Japoatã,Sergipe,12938,31.76,50.53,42.63,6.85,34.37,1.39,78.32,17.21,4.48,0.0,106962586.2,1470,902,0,0.2,4.8,17.3,0.0,0.46,42.52,0.7,11.94,0.0,0.0,0.0,11.43,17.14,71.43,53.71,8.73,7.12,898.71,2308822.26,13.72,8.01,4.71,0.0,zero,zero
Cotegipe,Bahia,13636,3.25,49.17,43.25,7.58,50.56,0.17,74.77,22.97,2.27,0.0,60359072.2,1675,563,0,0.1,4.4,13.1,0.0,0.0,49.02,0.75,6.2,0.0,0.0,0.0,10.53,10.53,78.95,14.46,0.73,5.35,924.19,1190220.82,18.69,10.23,2.93,0.0,zero,zero
Tabaporã,Mato Grosso,9932,1.19,45.8,50.84,3.36,50.56,2.41,76.01,19.19,4.8,0.2,132351150.4,1837,598,0,0.2,1.2,12.5,0.0,0.0,10.98,0.83,6.75,0.0,0.0,3.02,24.72,16.85,58.43,37.6,20.99,18.43,1109.32,2684359.13,3.05,2.07,17.92,0.0,zero,zero
Guaraci,São Paulo,9976,15.55,40.85,50.64,8.51,90.13,87.12,57.96,27.58,14.47,0.0,189918698.6,1318,623,0,0.0,2.3,13.2,0.0,0.2,5.7,0.84,9.14,0.0,0.0,2.0,13.79,14.94,71.26,20.22,44.75,12.26,1462.53,3891782.79,23.8,8.82,19.35,1.0,zero,zero
Timburi,São Paulo,2646,13.45,36.03,51.34,12.63,76.03,69.95,74.78,16.58,8.64,0.0,22827571.2,278,147,0,0.0,2.0,7.3,0.0,0.67,9.24,0.83,15.65,0.0,0.0,0.0,9.52,19.05,71.43,44.64,1.45,11.88,915.3,1729393.94,6.53,3.15,9.07,0.0,zero,zero
Sento Sé,Bahia,37425,2.95,51.78,42.18,6.04,57.54,28.72,77.18,19.88,2.94,0.0,152718326.3,5316,1768,71,0.1,1.7,19.6,0.03,0.08,49.51,0.78,22.94,0.0,0.0,0.0,10.47,5.81,83.72,4.36,2.24,15.15,795.16,1139193.02,17.94,8.83,4.73,0.0,zero,zero
José Boiteux,Santa Catarina,4721,11.65,44.76,46.71,8.54,38.66,0.99,76.86,15.77,7.38,0.0,135746123.3,776,274,0,0.0,2.4,17.4,0.0,0.6,13.78,0.84,9.42,0.0,44037.28,0.0,1.69,44.92,53.39,0.54,53.3,23.42,776.69,5402746.82,5.65,2.07,22.03,0.0,media,zero
Professor Jamil,Goiás,3239,9.27,38.96,51.59,9.45,69.03,0.2,69.08,23.83,7.09,0.0,32824058.39,479,181,0,0.0,0.0,0.0,0.0,0.0,5.69,0.82,3.55,0.0,0.0,0.0,7.69,7.69,84.62,16.67,3.19,30.85,735.35,2298951.05,11.25,8.63,20.69,0.0,zero,zero
Mauriti,Ceará,44240,42.15,48.8,43.36,7.84,54.65,11.58,73.71,21.06,5.24,0.0,187567867.2,9328,2513,0,0.1,3.8,18.0,0.02,0.57,48.76,0.77,20.01,0.0,0.0,0.0,0.99,16.83,82.18,0.54,10.25,16.12,689.31,1190436.88,11.29,8.35,3.89,0.0,zero,zero
Cunhataí,Santa Catarina,1882,33.75,35.49,55.58,8.93,35.02,0.35,80.38,15.2,4.42,0.0,23662668.3,186,101,0,0.0,3.5,10.5,0.0,0.0,1.96,0.89,15.15,0.0,0.0,0.0,2.38,23.81,73.81,3.54,17.68,38.38,702.18,1722197.96,0.0,0.07,20.19,10.63,zero,zero
Ouro Verde,Santa Catarina,2271,12.0,40.73,51.65,7.62,33.72,0.46,74.46,17.49,8.05,0.0,44805376.56,256,75,0,0.5,1.5,7.5,0.0,0.0,17.8,0.79,18.35,0.0,0.0,0.0,0.0,11.11,88.89,10.13,4.43,30.7,987.04,5321258.91,7.3,1.86,7.93,0.0,zero,zero
Cruz do Espírito Santo,Paraíba,16257,85.07,48.23,45.73,6.04,46.81,17.95,80.74,17.5,1.76,0.0,81680857.95,3955,604,0,0.3,5.6,11.1,0.0,0.0,41.99,0.78,7.64,0.0,0.0,0.0,16.67,20.0,63.33,3.86,37.07,6.53,718.25,1597203.75,14.8,8.97,1.35,0.0,zero,zero
Ulianópolis,Pará,43341,8.52,55.31,42.72,1.98,67.42,0.21,81.91,15.97,2.12,0.0,543186251.9,3513,818,0,0.1,1.1,11.4,0.02,0.05,27.74,0.76,2.44,0.0,6580.84,0.23,18.07,28.31,53.61,11.81,59.04,13.39,830.17,4135475.03,25.93,14.89,8.51,0.0,media,zero
São Sebastião da Bela Vista,Minas Gerais,4948,29.6,39.55,52.1,8.35,58.59,58.47,72.34,21.16,6.5,0.0,56399382.16,745,244,0,0.2,3.0,11.8,0.0,2.0,6.35,0.85,8.11,0.0,3637.83,0.0,6.15,24.62,69.23,29.69,31.48,17.44,694.32,2348001.67,7.37,3.5,27.69,2.02,media,zero
Altamira,Pará,99075,0.62,50.59,44.78,4.63,85.33,1.84,64.2,27.79,8.01,0.18,788299154.3,16621,6732,1366,0.2,4.0,24.1,0.08,0.0,22.38,0.81,8.74,0.0,144230.73,2.02,8.12,12.23,79.65,4.61,18.41,50.46,948.33,1976256.92,12.72,6.7,24.23,0.3,media,zero
Cansanção,Bahia,32908,24.62,48.73,42.52,8.75,36.67,32.04,77.06,19.05,3.89,0.0,129393268.8,5244,1556,0,0.1,4.4,14.3,0.0,0.0,53.28,0.75,1.12,0.0,0.0,0.0,4.62,3.08,92.31,1.31,1.19,16.09,723.74,934266.74,7.33,4.16,5.65,0.0,zero,zero
Modelo,Santa Catarina,4045,44.4,37.87,51.52,10.61,69.32,4.74,66.69,23.66,9.65,0.29,93119095.55,407,229,0,0.0,4.8,9.5,0.25,0.75,3.58,0.89,8.85,0.0,190951.79,0.0,0.78,42.97,56.25,4.93,54.76,27.55,872.44,3634998.05,3.98,1.5,25.71,4.94,media,zero
Heliópolis,Bahia,13192,38.94,46.48,44.81,8.71,45.1,2.94,82.1,15.74,2.17,0.0,54303944.56,1519,577,0,0.0,4.8,10.3,0.0,0.62,44.3,0.75,18.77,0.0,0.0,0.0,8.33,4.17,87.5,1.13,0.16,16.67,587.12,855460.92,11.72,5.77,4.78,0.0,zero,zero
Rio de Contas,Bahia,13007,12.14,37.96,49.59,12.45,49.73,19.86,77.58,19.89,2.54,0.0,58565058.06,807,488,0,0.2,5.5,14.1,0.0,0.15,32.97,0.77,10.18,0.0,35297.92,3.08,1.37,13.7,84.93,2.51,6.05,22.27,738.53,1200719.13,10.9,5.42,9.53,0.0,media,zero
São Miguel do Fidalgo,Piauí,2976,3.66,49.19,43.48,7.33,37.16,0.79,85.05,11.24,3.72,0.0,11142739.2,600,101,0,0.0,0.0,0.0,0.0,0.0,53.02,0.75,13.85,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,4.62,861.68,878092.99,7.91,5.22,0.0,0.0,zero,zero
Treviso,Santa Catarina,3527,22.45,35.75,55.4,8.85,52.74,12.94,69.56,24.28,6.16,0.0,134096222.6,321,115,0,0.0,1.8,8.8,0.0,2.0,0.71,0.88,6.16,0.0,0.0,0.0,0.0,30.95,69.05,0.0,80.6,7.66,1618.09,7953499.41,2.49,1.75,7.66,0.0,zero,zero
